ticker,ret_12m,score_4,target_class,year
EOP,0.1184184063392461,0.7366832902971292,2,2004
NVDA,-0.0990099009900991,0.36929813028737835,0,2004
AIV,0.2853315472203617,-0.05489681994689044,4,2004
DALRQ,-0.4886363636363636,-0.22329021461295828,0,2004
AES,0.9204771371769382,-0.29200412296526573,4,2004
EP1,0.5147036181678213,-0.30089244712766583,4,2004
TIN,0.190794842500408,-0.31368748791387285,3,2004
AV1,-0.2644836272040303,-0.31843045465648023,0,2004
PWER1,-0.5343580470162749,-0.31875193288465214,0,2004
LU1,-0.3309002433090025,-0.3188996216777964,0,2004
PLD,0.1093676539727315,-0.3280894883596203,2,2004
SANM,-0.5271739130434783,-0.3312659402630593,0,2004
AAPL,2.083743842364532,-0.33536866460666787,4,2004
AYE,0.5068739259490704,-0.3380723462406319,4,2004
X,0.3723941680521807,-0.346227507454985,4,2004
CMS,0.4571660576532683,-0.3518143819670705,4,2004
MON2,0.7849868483172591,-0.35422220186314096,4,2004
DDS,0.4135517612674972,-0.3646238265277415,4,2004
EMN,0.4310120544618854,-0.37092109030603115,4,2004
BC,0.1618970013037808,-0.3824907201103024,3,2004
NVDA,1.4065934065934065,0.6065369509578123,4,2005
UST1,-0.1509607640087445,0.3379699942188682,0,2005
ASN,0.4921875,0.13802608261942217,4,2005
GT,0.0846315789473683,0.010722104913342356,1,2005
AIV,0.3413236060448148,-0.024819105687192256,3,2005
PLD,0.5346188483339516,-0.0862454654042446,4,2005
XTO,0.3349904893653812,-0.1293281757982747,3,2005
GTW,-0.4565756823821341,-0.17699139910365708,0,2005
Q1,0.8380691543991785,-0.2978965761995546,4,2005
VSTNQ,0.0963222416812609,-0.30706952185570624,2,2005
EOG,0.4811282349520209,-0.3309926646331511,4,2005
LPX,0.1044591655131501,-0.33876460740749903,2,2005
DDS,-0.0254638446052559,-0.34401009596216575,0,2005
CPNLQ,-0.8999999999999999,-0.3753521523133087,0,2005
CCTYQ,0.5308354364848249,-0.37799216904859145,4,2005
CMS,-0.0069657286152131,-0.4017150690577722,1,2005
